Date,TempMax,TempAvg,TempMin,DewMax,DewAvg,DewMin,HumidityMax,HumidityAvg,HumidityMin,WindMax,WindAvg,WindMin,PressureMax,PressureAvg,PressureMin,RainTotal,DateSeattle,DayBeforeRainSeattle,Season
112015,18,12.6,7,11,7.3,2,88,79.8,68,7,1.7,0,27.4,27.3,27.3,0,12312014,0,Winter
122015,19,14.1,8,10,7.1,4,85,73.8,59,7,3.5,0,27.3,27.3,27.2,0,112015,0,Winter
132015,24,18.2,13,15,12.2,10,92,77.7,68,8,3.2,0,27.3,27.3,27.2,0,122015,0,Winter
142015,31,24.8,21,29,19.1,14,92,79.2,68,8,0.9,0,27.4,27.4,27.3,0,132015,0.06,Winter
152015,38,31.9,29,35,30.5,26,100,94.7,85,10,3.2,0,27.5,27.4,27.3,0.04,142015,0.1,Winter
162015,37,31.5,26,34,30.4,25,100,95.6,86,13,2.2,0,27.5,27.5,27.4,0.13,152015,0.38,Winter
172015,39,28.2,24,33,26.8,23,100,94.7,76,10,1.5,0,27.5,27.4,27.3,0,162015,0.24,Winter
182015,32,30.1,28,30,27.9,26,100,90.9,85,8,2.8,0,27.3,27.3,27.3,0,172015,0,Winter
192015,32,31.1,30,31,29.5,28,100,93.9,87,10,3.1,0,27.3,27.2,27.1,0,182015,0,Winter
1102015,34,31.5,29,31,29.4,28,100,92.4,87,5,0.8,0,27.2,27.1,27.1,0,192015,0,Winter
1112015,34,32.5,30,32,30.7,30,100,93.5,85,5,1.1,0,27.2,27.1,27.1,0.01,1102015,0.1,Winter
1122015,36,32.2,30,34,31.4,30,100,96.8,92,13,5.9,0,27.3,27.2,27.2,0.12,1112015,0.15,Winter
1132015,37,30.1,28,30,28.2,26,100,92.8,76,9,2.4,0,27.4,27.4,27.3,0.01,1122015,0.05,Winter
1142015,34,31.7,28,28,25.8,23,93,78.8,72,17,8.6,3,27.4,27.4,27.4,0,1132015,0,Winter
1152015,35,31.5,26,27,23.9,20,81,73.5,64,18,8.4,0,27.4,27.4,27.2,0,1142015,0,Winter
1162015,43,36.5,31,39,34.4,27,100,92.2,78,17,5.8,0,27.3,27.2,27.1,0.05,1152015,0,Winter
1172015,40,32.5,28,36,31,28,100,94.6,79,10,3.6,0,27.4,27.3,27.1,0.31,1162015,0.38,Winter
1182015,49,42,35,46,38.8,34,100,89.2,71,18,5.5,0,27.3,27.2,27.1,0.04,1172015,0,Winter
1192015,44,35.1,30,36,33,29,100,92.9,58,13,2.4,0,27.4,27.3,27.3,0.12,1182015,1.18,Winter
1202015,32,29.2,27,30,27.5,25,100,92.9,82,5,0.9,0,27.4,27.4,27.3,0,1192015,0.7,Winter
1212015,32,27.9,24,28,24.4,19,100,86.9,73,7,2.1,0,27.4,27.4,27.4,0,1202015,0.01,Winter
1222015,36,29.1,23,27,21.6,17,92,74.6,52,9,4.9,0,27.5,27.4,27.4,0,1212015,0,Winter
1232015,39,30,26,30,26.8,24,100,88.3,62,15,2.9,0,27.6,27.5,27.5,0,1222015,0,Winter
1242015,39,33.4,30,32,29,26,93,84.1,73,9,2.3,0,27.5,27.5,27.4,0,1232015,0.03,Winter
1252015,45,34.2,28,35,30,26,96,85.4,68,8,2.2,0,27.5,27.4,27.4,0,1242015,0.25,Winter
1262015,43,34.9,28,35,31.2,27,100,86.9,71,8,2.7,0,27.4,27.3,27.2,0,1252015,0,Winter
1272015,39,31.6,27,36,30.6,26,100,95.6,82,6,1.4,0,27.2,27.1,27.1,0,1262015,0,Winter
1282015,46,36,30,37,34,30,100,93.1,71,13,2.1,0,27.4,27.3,27.2,0.02,1272015,0,Winter
1292015,46,38.1,32,34,32.7,30,96,81.9,63,9,4.7,0,27.4,27.4,27.3,0,1282015,0.03,Winter
1302015,45,33.5,28,34,29.8,25,100,87.4,63,14,3,0,27.3,27.2,27.2,0,1292015,0,Winter
1312015,48,35,24,31,27.3,22,91,75.2,52,14,5.5,0,27.2,27.2,27.1,0,1302015,0,Winter
212015,43,37.4,32,36,29.8,23,93,74.7,55,14,8.3,0,27.2,27.2,27.1,0,1312015,0,Winter
222015,46,37.7,33,41,36.6,32,100,96.2,79,14,3.7,0,27.2,27.1,27,0.14,212015,0,Winter
232015,46,39.8,37,44,39.2,37,100,97.8,93,10,4,0,27.1,27.1,27,0.11,222015,0.06,Winter
242015,51,42.3,39,44,40.1,37,100,92.6,71,8,2.3,0,27.2,27.1,27.1,0.36,232015,0.29,Winter
252015,56,46.7,39,40,35.7,30,100,70.7,37,17,8.1,0,27.1,27,26.9,0.04,242015,0.05,Winter
262015,63,57.8,52,45,33.8,29,77,42.6,28,20,14.9,6,26.9,26.9,26.8,0,252015,0.38,Winter
272015,64,56.4,51,44,37.3,32,77,50.7,30,24,11.8,0,27.1,26.9,26.8,0.07,262015,1.09,Winter
282015,63,53.2,44,44,37.5,35,76,57.1,37,18,10.7,5,27.1,27.1,26.9,0,272015,0.74,Winter
292015,56,50.6,47,47,41.4,35,93,71.5,57,18,8.9,0,27.1,27,26.9,0.34,282015,0.77,Winter
2102015,53,45.2,37,40,37.2,33,92,74.6,56,13,5,0,27.3,27.3,27.2,0.06,292015,0.13,Winter
2112015,56,45.2,36,40,35.8,32,86,71,49,14,9.1,0,27.4,27.4,27.3,0,2102015,0.25,Winter
2122015,56,44.9,35,38,35.3,33,92,71,45,6,2.7,0,27.4,27.3,27.3,0,2112015,0,Winter
2132015,55,44.8,36,40,35.4,29,93,71.1,52,10,4.5,0,27.4,27.3,27.2,0,2122015,0.04,Winter
2142015,58,46.4,38,41,37.8,34,96,73.8,53,10,3.9,0,27.2,27.2,27.1,0,2132015,0,Winter
2152015,54,43.8,33,36,30.7,26,96,63.2,35,21,8.2,0,27.3,27.3,27.2,0,2142015,0,Winter
2162015,50,38.1,28,28,25.7,24,85,63.6,38,9,2.8,0,27.3,27.3,27.2,0,2152015,0.01,Winter
2172015,52,40,29,27,25,22,82,57.2,31,8,2.8,0,27.3,27.3,27.2,0,2162015,0,Winter
2182015,55,42.4,31,31,27.8,24,76,58.5,34,9,3.8,0,27.3,27.2,27.2,0,2172015,0,Winter
2192015,59,45,32,34,30,27,82,58.4,33,13,5,0,27.2,27.1,27.1,0,2182015,0,Winter
2202015,52,43.8,37,36,31.9,28,79,64.4,43,16,8.7,0,27.2,27.1,27.1,0,2192015,0,Winter
2212015,48,36.5,0,34,27.8,0,89,68.5,0,20,8.2,0,27.2,27.1,27,0,2202015,0.18,Winter
2222015,40,32.7,25,29,18.6,8,86,59.8,29,15,5.3,0,27.3,27.2,27.2,0,2212015,0.03,Winter
2232015,42,31.9,22,17,14,11,75,50.3,31,9,4,0,27.4,27.3,27.3,0,2222015,0,Winter
2242015,53,38.7,26,21,17.5,13,71,46.3,23,13,6,0,27.4,27.3,27.1,0,2232015,0,Winter
2252015,54,42.2,32,26,23.4,22,66,48.9,30,18,7.5,0,27.3,27.2,27.1,0,2242015,0,Winter
