Account Number,Birthday,Gender,Ethnicity,Zip Code,Veteran,Disabled,Refugee
3,1970,Female,W,83709,FALSE,FALSE,FALSE
3,1962,Male,W,83709,FALSE,FALSE,FALSE
3,2002,Male,W,83709,FALSE,FALSE,FALSE
3,1993,Male,W,83709,FALSE,FALSE,FALSE
4,1948,Female,W,83634,FALSE,FALSE,FALSE
4,1989,Male,W,83634,FALSE,FALSE,FALSE
5,1956,Male,W,83709,FALSE,FALSE,FALSE
5,1985,Female,W,83709,FALSE,FALSE,FALSE
5,2004,Male,W,83709,FALSE,FALSE,FALSE
5,2004,Male,W,83709,FALSE,FALSE,FALSE
5,2006,Female,W,83709,FALSE,FALSE,FALSE
6,1960,Female,OM,83709,FALSE,FALSE,FALSE
6,2005,Female,OM,83709,FALSE,FALSE,FALSE
6,2006,Male,OM,83709,FALSE,FALSE,FALSE
6,1956,Male,NA,83709,FALSE,FALSE,FALSE
7,1982,Male,AA,83703,FALSE,TRUE,FALSE
7,1986,Female,AA,83703,FALSE,FALSE,FALSE
7,2003,Male,AA,83703,FALSE,FALSE,FALSE
7,2007,Male,AA,83703,FALSE,FALSE,FALSE
9,1993,Female,A,83705,FALSE,FALSE,FALSE
9,1955,Female,A,83705,FALSE,FALSE,FALSE
9,2014,Female,A,83705,FALSE,FALSE,FALSE
12,1963,Male,W,83705,FALSE,FALSE,FALSE
12,1958,Male,W,83705,FALSE,FALSE,FALSE
12,1988,Male,W,83705,FALSE,FALSE,FALSE
12,1994,Male,W,83705,FALSE,FALSE,FALSE
12,1998,Female,W,83705,FALSE,FALSE,FALSE
13,1944,Female,W,83705,FALSE,FALSE,FALSE
14,1968,Male,W,83706,FALSE,FALSE,FALSE
14,1977,Female,W,83706,FALSE,FALSE,FALSE
14,2003,Female,W,83706,FALSE,FALSE,FALSE
14,2013,Male,W,83706,FALSE,FALSE,FALSE
15,1966,Male,W,83706,FALSE,FALSE,FALSE
15,1975,Female,W,83706,FALSE,FALSE,TRUE
15,1996,Male,W,83706,FALSE,FALSE,TRUE
15,2002,Male,W,83706,FALSE,FALSE,FALSE
15,2014,Male,W,83706,FALSE,FALSE,TRUE
15,2014,Male,W,83706,FALSE,FALSE,TRUE
16,1951,Female,H,83706,FALSE,FALSE,FALSE
16,1922,Female,H,83706,FALSE,FALSE,FALSE
16,1981,Male,H,83706,FALSE,FALSE,FALSE
16,1961,Male,W,83706,FALSE,FALSE,FALSE
16,1961,Male,W,83706,FALSE,FALSE,FALSE
17,1955,Male,W,83616,FALSE,FALSE,FALSE
18,1959,Female,H,83705,FALSE,FALSE,FALSE
18,1964,Male,W,83705,FALSE,FALSE,FALSE
18,1994,Female,W,83705,FALSE,FALSE,FALSE
18,2013,Male,W,83705,FALSE,FALSE,FALSE
18,2008,Male,W,83705,FALSE,FALSE,FALSE
19,1980,Female,W,83705,FALSE,FALSE,FALSE
19,1974,Male,W,83705,FALSE,FALSE,FALSE
19,2008,Female,W,83705,FALSE,FALSE,FALSE
19,2006,Male,W,83705,FALSE,FALSE,FALSE
19,2004,Female,W,83705,FALSE,FALSE,FALSE
20,1979,Female,W,83705,FALSE,FALSE,FALSE
20,1979,Male,W,83705,FALSE,FALSE,FALSE
20,2001,Female,W,83705,FALSE,FALSE,FALSE
20,2002,Female,W,83705,FALSE,FALSE,FALSE
20,2005,Female,W,83705,FALSE,FALSE,FALSE
20,2013,Male,W,83705,FALSE,FALSE,FALSE
20,2013,Male,W,83705,FALSE,FALSE,FALSE
22,1972,Female,OM,83709,FALSE,FALSE,FALSE
22,1997,Male,OM,83709,FALSE,FALSE,FALSE
22,2002,Male,OM,83709,FALSE,FALSE,FALSE
22,2004,Female,OM,83709,FALSE,FALSE,FALSE
22,2008,Female,OM,83709,FALSE,FALSE,FALSE
